Year,Value,Category,Metric,Statistic
1988,919,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1988,10.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1988,118,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1988,438,Business,Reason for Journey,Visitors to Ireland (Thousand)
1988,3.8,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1988,56,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1988,178,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1988,9.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1989,371,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1989,1061,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1989,10.9,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1989,274,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1989,1020,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1989,10,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1989,128,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1989,471,Business,Reason for Journey,Visitors to Ireland (Thousand)
1989,3.9,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1989,66,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1989,181,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1989,11.9,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1990,490,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1990,1327,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1990,10.8,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1990,286,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1990,1059,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1990,9.9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1990,145,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1990,507,Business,Reason for Journey,Visitors to Ireland (Thousand)
1990,4.1,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1990,67,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1990,175,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1990,12.1,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1991,578,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1991,1466,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
1991,11.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1991,270,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1991,909,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
1991,10.2,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1991,135,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1991,445,Business,Reason for Journey,Visitors to Ireland (Thousand)
1991,4.3,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1991,77,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
1991,177,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
1991,13.3,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
1992,596,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
